Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
0,Clay Local,049601,Clay High School,006502,"44 Clay High St Portsmouth, OH   45662-8817",2011,100.0,7-12,,,,,Met
0,Claymont City,043778,Claymont High School,006528,"4205 Indian Hill Rd SE Uhrichsville, OH   44683-1305",2011,90.4,9-12,,,,,Met
0,Clear Fork Valley Local,049411,Clear Fork High School,006551,"987 State Route 97 E Bellville, OH   44813-1229",2011,97.3,9-12,,,,,Met
0,Springboro Community City,050427,Springboro High School,006593,"1675 S Main St Springboro, OH   45066-1524",2011,96.2,9-12,,,,,Met
3,Clearview Local,048132,Clearview High School,006619,"4700 Broadway Lorain, OH   44052-5542",2011,94.2,9-12,,,,,Met
0,Clermont Northeastern Local,046326,Clermont Northeastern High School,006635,"5327 Hutchinson Rd Batavia, OH   45103-9511",2011,90.1,9-12,,,,,Met
4,Clinton-Massie Local,046391,Clinton-Massie High School,006734,"2556 Lebanon Rd Clarksville, OH   45113-8201",2011,97.7,9-12,,,,,Met
1,Cloverleaf Local,048488,Cloverleaf High School,006759,"8525 Friendsville Rd Lodi, OH   44254-9706",2011,94.5,9-12,,,,,Not Met
2,Clyde-Green Springs Exempted Village,045302,Clyde High School,006791,"1015 Race St Clyde, OH   43410-1832",2011,95.3,9-12,,,,,Not Met
2,Dayton City,043844,Thurgood Marshall High School,006841,"4447 Hoover Ave Dayton, OH   45417-1117",2011,85.9,9-12,,,,,Not Met
0,Coldwater Exempted Village,045310,Coldwater High School,006858,"310 N 2nd St Coldwater, OH   45828-1242",2011,98.1,9-12,,,,,Met
3,Northwest Local,047365,Colerain High School,006890,"8801 Cheviot Rd Cincinnati, OH   45251-5907",2011,91.3,9-12,,,,,Not Met
2,Cleveland Municipal,043786,Collinwood High School,006940,"15210 Saint Clair Ave Cleveland, OH   44110-3012",2011,49.3,9-12,,,,,Not Met
2,Colonel Crawford Local,046516,Col Crawford High School,006965,"PO Box 7 North Robinson, OH   44856-0007",2011,96.3,9-12,,,,,Met
7,Columbia Local,048140,Columbia High School,007021,"14168 W River Rd Columbia Station, OH   44028-9430",2011,98.9,9-12,,,,,Met
0,Tiffin City,044891,Columbian High School,007054,"300 S Monroe St Tiffin, OH   44883-2906",2011,90.7,9-12,,,,,Not Met
0,Columbiana Exempted Village,045328,Columbiana High School,007062,"700 Columbiana Waterford Rd Columbiana, OH   44408-9499",2011,95.5,9-12,,,,,Met
0,Columbus Grove Local,049312,Columbus Grove High School,007104,"201 W Cross St Columbus Grove, OH   45830-1237",2011,97.4,9-12,,,,,Met
1,Conneaut Area City,043810,Conneaut High School,007211,"381 Mill St Conneaut, OH   44030-2439",2011,90.9,9-12,,,,,Met
0,Conotton Valley Union Local,047548,Conotton Valley Jr/Sr High School,007245,"7205 Cumberland Rd SW Bowerston, OH   44695-9632",2011,87.8,7-12,,,,,Met
0,Continental Local,049320,Continental Local High School,007278,"5211 State Route 634 Continental, OH   45831-9155",2011,97.9,9-12,,,,,Met
8,Coventry Local,049999,Coventry High School,007286,"3089 Manchester Rd Akron, OH   44319-1026",2011,97.3,10-12,,,,,Met
5,Copley-Fairlawn City,049981,Copley High School,007310,"3807 Ridgewood Rd Copley, OH   44321-1630",2011,98.8,9-12,,,,,Not Met
1,Cory-Rawson Local,047431,Cory-Rawson High School,007401,"3930 County Road 26 Rawson, OH   45881-9609",2011,100.0,9-12,,,,,Met
0,Coshocton City,043828,Coshocton High School,007427,"1205 Cambridge Rd Coshocton, OH   43812-2741",2011,95.3,7-12,,,,,Met
1,Covington Exempted Village,045336,Covington High School,007534,"807 Chestnut St Covington, OH   45318-1760",2011,93.2,9-12,,,,,Met
1,Crestline Exempted Village,045344,Crestline High School,007617,"7854 Oldfield Rd Crestline, OH   44827-9782",2011,92.2,7-12,,,,,Met
0,Crestview Local,046433,Crestview High School,007658,"44100 Crestview Rd Ste B Columbiana, OH   44408-9660",2011,97.1,9-12,,,,,Met
0,Crestview Local,050351,Crestview High School,007666,"531 E Tully St Convoy, OH   45832-8864",2011,97.6,7-12,,,,,Met
0,Crestview Local,049429,Crestview High School,007674,"1575 State Route 96 Ashland, OH   44805-9262",2011,88.6,9-12,,,,,Met
