Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
,Clay Local,049601,Clay Middle School,032938,"44 Clay High St Portsmouth, OH   45662-8817",2012,91.0,6-8,,,,,Met
,Huber Heights City,048751,Rushmore Elementary School,032961,"7701 Berchman Dr Huber Heights, OH   45424-2112",2012,95.0,K-5,,,,,Met
,West Carrollton City,045054,Harry Russell Elementary School,033027,"123 Elementary Dr West Carrollton, OH   45449-1701",2012,94.9,1-5,,,,,Met
,Russia Local,049817,Russia Elementary School,033043,"PO Box 8 Russia, OH   45363-0008",2012,105.0,K-6,,,,,Met
,Russia Local,049817,Russia High School,033050,"100 School St Russia, OH   45363-9811",2012,108.0,7-12,,,,,
,Delaware City,043877,Rutherford B Hayes High School,033084,"289 Euclid Ave Delaware, OH   43015-1272",2012,98.60000000000001,9-12,,,,,
,Firelands Local,048157,South Amherst Middle School,033126,"152 W Main St South Amherst, OH   44001-2924",2012,101.9,6-8,,,,,Met
,Cincinnati City,043752,South Avondale Elementary School,033134,"636 Prospect Pl Cincinnati, OH   45229-2916",2012,91.10000000000001,"P,K-8",,,,,Met
,Upper Sandusky Exempted Village,045625,South Elementary School,033167,"444 S 8th St Upper Sandusky, OH   43351-1506",2012,96.9,K-5,,,,,Met
,South-Western City,044800,James A Harmon Elementary School,033191,"2090 Frank Rd Columbus, OH   43223-3735",2012,90.3,K-4,,,,,Met
,Coshocton City,043828,South Lawn Elementary School,033209,"753 S Lawn Ave Coshocton, OH   43812-2549",2012,80.3,K-6,,,,,Met
,Kings Local,050435,South Lebanon Elementary School,033217,"50 Ridgeview Ln Maineville, OH   45039-8021",2012,107.7,K-4,,,,,Met
,Clyde-Green Springs Exempted Village,045302,Clyde Elementary School,033241,"821 S Main St Clyde, OH   43410-2035",2012,94.2,K-3,,,,,Met
,Columbus City School District,043802,South Mifflin STEM Academy (K-6),033258,"2365 Middlehurst Dr Columbus, OH   43219-1303",2012,65.3,"K-6,P",,,,,Met
,South Point Local,047951,South Point Elementary School,033274,"501 Washington St South Point, OH   45680-9661",2012,98.0,K-5,,,,,Met
,South Point Local,047951,South Point High School,033282,"983 County Road 60 South Point, OH   45680-7465",2012,91.60000000000001,9-12,,,,,
,South Point Local,047951,South Point Middle School,033290,"983 County Road 60 South Point, OH   45680-7465",2012,93.7,6-8,,,,,Met
,Columbiana Exempted Village,045328,South Side Middle School,033340,"720 Columbiana Waterford Rd Columbiana, OH   44408-9499",2012,105.2,5-8,,,,,Met
,East Clinton Local,046409,Sabina Elementary School,033399,"246 W Washington St Sabina, OH   45169-1031",2012,103.60000000000001,K-5,,,,,Met
,Salem City,044735,Salem Junior High School,033431,"1200 E 6th St Salem, OH   44460-1757",2012,98.3,7-8,,,,,Met
,Columbus City School District,043802,Salem Elementary School,033464,"1040 Garvey Rd Columbus, OH   43229-4131",2012,78.8,K-5,,,,,Met
,Salem City,044735,Salem High School,033472,"1200 E 6th St Salem, OH   44460-1757",2012,99.10000000000001,9-12,,,,,
,Fort Frye Local,050484,Salem-Liberty Elementary School,033480,"10930 State Route 821 Lower Salem, OH   45745-8830",2012,90.60000000000001,K-6,,,,,Met
,Southern Local,046441,Southern Local Elementary School,033498,"38095E State Route 39 Salineville, OH   43945-1084",2012,97.9,K-6,,,,,Met
,Logan Elm Local,049080,Saltcreek Elementary School,033514,"13190 State Route 56 Kingston, OH   45644-9616",2012,104.4,K-6,,,,,Met
,Lancaster City,044206,Sanderson Elementary School,033522,"1450 Marietta Rd NE Lancaster, OH   43130-8734",2012,99.9,K-5,,,,,Met
,Cincinnati City,043752,Sands Montessori Elementary School,033530,"6421 Corbly Rd Cincinnati, OH   45230-1437",2012,101.9,"K-6,P",,,,,Met
,Chagrin Falls Exempted Village,045286,Chagrin Falls Intermediate Elementary School,033548,"77 E Washington St Chagrin Falls, OH   44022-3001",2012,108.9,4-6,,,,,Met
,Sandusky City,044743,Sandusky High School,033555,"2130 Hayes Ave Sandusky, OH   44870-4740",2012,91.3,9-12,,,,,
,Sandy Valley Local,049940,Sandy Valley High School,033563,"5362 State Route 183 NE Magnolia, OH   44643-8481",2012,101.5,9-12,,,,,
,Eastern Local,046037,Sardinia Elementary School,033605,"PO Box 67 Sardinia, OH   45171-0067",2012,98.4,K-5,,,,,Met
,Switzerland of Ohio Local,048652,Sardis Elementary School,033613,"PO Box 305 Sardis, OH   43946-0305",2012,88.7,"K,1-8,SN",,,,,Met
,Jackson Local,049858,Sauder Elementary School,033621,"7503 Mudbrook Rd NW Massillon, OH   44646-1108",2012,109.0,K-5,,,,,Met
,Crestview Local,049429,Crestview Elementary School,033639,"1575 State Route 96 Ashland, OH   44805-9262",2012,101.9,K-3,,,,,Met
,Mad River Local,048702,Saville Elementary School,033647,"5800 Burkhardt Rd Dayton, OH   45431-2932",2012,95.8,K-4,,,,,Met
,Ashtabula Area City,043513,Saybrook Elementary School,033670,"2300 Wade Ave Ashtabula, OH   44004-9435",2012,93.60000000000001,4-6,,,,,Met
,Cincinnati City,043752,Sayler Park Elementary School,033688,"6607 Hillside Ave Cincinnati, OH   45233-1134",2012,89.60000000000001,"P,K-8",,,,,Met
,Springfield City,044818,Schaefer Middle School,033704,"147 S Fostoria Ave Springfield, OH   45505-1406",2012,82.7,7-8,,,,,Met
,Springfield Local,050062,Schrop Intermediate School,033738,"2215 Pickle Rd Akron, OH   44312-4223",2012,94.8,4-6,,,,,Met
,Akron City,043489,Schumacher Community Learning Cent,033746,"1040 Hartford Ave Akron, OH   44320-2710",2012,72.9,K-5,,,,,Met
,Teays Valley Local,049098,Scioto Elementary School,033811,"20 W Scioto St Commercial Point, OH   43116-9712",2012,111.2,K-5,,,,,Met
,Columbus City School District,043802,Scottwood Elementary School,033894,"3392 Scottwood Rd Columbus, OH   43227-3564",2012,86.8,"K-5,P",,,,,Met
,Cleveland Municipal,043786,Scranton School,033902,"1991 Barber Ave Cleveland, OH   44113-5135",2012,76.60000000000001,K-8,,,,,Met
