Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Willoughby-Eastlake City,045104,South High School,035089,"5000 Shankland Rd Willoughby, OH   44094-5637",9-12,-81.42078649999999,41.6255538
,Lima City,044222,Lima South Middle School,035097,"755 Saint Johns Ave Lima, OH   45804-1552",5-8,-84.1004634,40.7278221
,Mt Healthy City,044412,Mt Healthy Junior High School,035105,"1917 Miles Rd Cincinnati, OH   45231-2119",7-8,-84.55698509999999,39.2500226
,Vermilion Local,046821,South Street Elementary School,035139,"5735 South St Vermilion, OH   44089-1170",K-2,-82.3684548,41.4184085
,Kettering City,044180,Southdale Elementary School,035147,"1200 W Dorothy Ln Kettering, OH   45409-1307",K-5,-84.1956797,39.7069085
,Crestline Exempted Village,045344,Crestline Southeast Elementary School,035154,"300 E Arnold St Crestline, OH   44827-1905",4-7,-82.73401,40.7767679
,Southeast Local,049221,Southeast High School,035170,"8423 Tallmadge Rd Ravenna, OH   44266-9242",9-12,-81.08736569999999,41.09978479999999
,Bellefontaine City,043588,Southeastern Elementary School,035188,"613 Hamilton St Bellefontaine, OH   43311-1831",K-3,-83.7568881,40.3534921
,Southeastern Local,046276,Southeastern High School,035196,"PO Box Z South Charleston, OH   45368-0826",9-12,-83.62731889999999,39.8272694
,Southeastern Local,049528,Southeastern High School,035204,"2003 Lancaster Rd Chillicothe, OH   45601-9092",9-12,-82.8707924,39.2825749
,Southern Local,048538,Southern High School,035220,"920 Elm St Racine, OH   45771-8902",9-12,-81.90807939999999,38.9700789
,Southington Local,050237,Southington Elementary School,035238,"4432 State Route 305 Southington, OH   44470-9721",K-4,-80.959628,41.309637
,Columbus City,043802,Southmoor Middle School,035253,"1201 Moler Rd Columbus, OH   43207-1552",6-8,-82.96288369999999,39.9316931
,Columbus City,043802,Southwood Elementary School @ Reeb,035279,"1500 S 4th St Columbus, OH   43207-1040",K-5,-82.9925729,39.9318554
,Highland Local,048801,Highland Middle School,035295,"PO Box 68 Sparta, OH   43350-0068",6-8,-82.6993023,40.3951433
,Defiance City,043869,Spencer Elementary School,035303,"140 E Broadway St Defiance, OH   43512-1639",K-4,-84.3595859,41.2921072
,Black River Local,048462,Black River Education Center Middle School,035311,"257 County Road 40 Sullivan, OH   44880-9731",6-8,-82.1769717,41.0569087
,Geneva Area City,044057,Spencer Elementary School,035329,"4641 N Ridge Rd E Geneva, OH   44041-9209",K-6,-80.9215097,41.8131222
,Spencerville Local,045807,Spencerville Elementary School,035337,"2500 Wisher Dr Spencerville, OH   45887-1293",K-4,-84.3451671,40.702171
,Spencerville Local,045807,Spencerville High School,035345,"2500 Wisher Dr Spencerville, OH   45887-1293",9-12,-84.3451671,40.702171
,Springfield Local,050062,Spring Hill Junior High School,035360,"660 Lessig Ave Akron, OH   44312-3742",7-8,-81.4029561,41.0326245
,Xenia Community City,045153,Spring Hill Elementary School,035378,"860 Ormsby Dr Xenia, OH   45385-5538",K-5,-83.9293503,39.6743426
,Piqua City,044644,Springcreek Primary Elementary School,035428,"145 E Us Route 36 Piqua, OH   45356-8201",1-3,-84.1923846,40.15080210000001
,Princeton City,044677,Springdale Elementary School,035436,"350 W Kemper Rd Cincinnati, OH   45246-3024","K-5,P",-84.48366399999999,39.287614
,Springfield Local,048371,Springfield Intermediate Middle School,035451,"11333 Youngstown Pittsburgh Rd New Middletown, OH   44442-8724",5-8,-80.5489667,40.9548755
,Springfield Local,048371,Springfield High School,035469,"11335 Youngstown Pittsburgh Rd New Middletown, OH   44442-8724",9-12,-80.54792499999999,40.9551024
,Springfield Local,048223,Springfield High School,035477,"1470 S Mccord Rd Holland, OH   43528-9382",9-12,-83.704805,41.6160609
,Springfield Local,050062,Springfield High School,035485,"2966 Sanitarium Rd Akron, OH   44312-4467",9-12,-81.4162224,41.0168382
